date,value
2017-06-29,845.809825689
2017-06-30,808.032898838
2017-07-01,767.993796348
2017-07-02,726.090333049
2017-07-03,743.509754081
2017-07-04,753.738090955
2017-07-05,764.482049467
2017-07-06,761.49594375
2017-07-07,751.424468623
2017-07-08,638.300416044
2017-07-09,668.59607342
2017-07-10,623.013550789
2017-07-11,481.981576312
2017-07-12,453.460670769
2017-07-13,546.517176931
2017-07-14,509.982322033
2017-07-15,457.686075594
2017-07-16,408.572881921
2017-07-17,384.709388728
2017-07-18,470.77848785
2017-07-19,503.605621045
2017-07-20,449.722441422
2017-07-21,533.980576909
2017-07-22,535.97243599
2017-07-23,625.550813343
2017-07-24,601.029501801
2017-07-25,607.406907904
2017-07-26,509.620627174
2017-07-27,500.862909214
2017-07-28,492.105191254
2017-07-29,483.347473294
2017-07-30,499.741316136
2017-07-31,510.193453867
2017-08-01,520.645591597
2017-08-02,531.097729327
2017-08-03,534.579260608
2017-08-04,562.047602604
2017-08-05,565.644110438
2017-08-06,622.273491851
2017-08-07,628.54090877
2017-08-08,642.77446775
2017-08-09,657.00802673
2017-08-10,671.24158571
2017-08-11,734.180411467
2017-08-12,729.928812653
2017-08-13,750.13394711
2017-08-14,771.137665484
2017-08-15,755.877817279
2017-08-16,762.254550065
2017-08-17,760.016422494
2017-08-18,726.328950601
2017-08-19,670.515395649
2017-08-20,716.754458075
2017-08-21,755.809590011
2017-08-22,753.388111253
2017-08-23,750.966632494
2017-08-24,748.545153735
2017-08-25,806.202175954
2017-08-26,846.886798406
2017-08-27,939.532222335
2017-08-28,955.022394058
2017-08-29,984.91502917
2017-08-30,994.038807537
2017-08-31,1023.58474429
2017-09-01,1060.81920128
2017-09-02,1086.85885407
2017-09-03,956.030381805
2017-09-04,976.318393797
2017-09-05,809.424526264
2017-09-06,881.683378252
2017-09-07,935.897883062
2017-09-08,966.989596844
2017-09-09,871.217562486
2017-09-10,877.589620957
2017-09-11,849.47093023
2017-09-12,854.693639024
2017-09-13,848.271123689
2017-09-14,789.57300292
2017-09-15,597.145514154
2017-09-16,708.624444088
2017-09-17,691.025061374
2017-09-18,690.504063409
2017-09-19,768.2711875
2017-09-20,722.042070693
2017-09-21,697.765191087
2017-09-22,624.662897467
2017-09-23,648.335857733
2017-09-24,690.105735737
2017-09-25,658.725843889
2017-09-26,752.989502053
2017-09-27,746.476254861
2017-09-28,835.574389272
2017-09-29,834.908477943
2017-09-30,795.21293855
2017-10-01,839.177762495
2017-10-02,843.641271833
2017-10-03,810.297258393
2017-10-04,801.548539539
2017-10-05,749.801608914
2017-10-06,768.141303447
2017-10-07,783.311534886
2017-10-08,786.768151696
2017-10-09,720.74648638
2017-10-10,696.258099872
2017-10-11,710.694966965
2017-10-12,751.348599667
2017-10-13,700.850526972
2017-10-14,715.079986346
2017-10-15,696.218182951
2017-10-16,685.107646492
2017-10-17,705.024459518
2017-10-18,723.975174081
2017-10-19,714.805043134
2017-10-20,715.126262331
2017-10-21,694.895716347
2017-10-22,674.421706823
2017-10-23,693.585525927
2017-10-24,669.997561121
2017-10-25,741.02550613
2017-10-26,734.095280234
2017-10-27,713.338214604
2017-10-28,712.998370808
2017-10-29,684.024514415
2017-10-30,704.758260095
2017-10-31,710.730364152
2017-11-01,697.506862365
2017-11-02,647.815046957
2017-11-03,625.857393501
2017-11-04,678.042156343
2017-11-05,658.859762611
2017-11-06,649.497337229
2017-11-07,655.844401301
2017-11-08,674.036094321
2017-11-09,782.600195274
2017-11-10,852.183841099
2017-11-11,756.434836229
2017-11-12,801.055202684
2017-11-13,741.076550245
2017-11-14,788.240453236
2017-11-15,852.467239483
2017-11-16,908.420003173
2017-11-17,923.508170901
2017-11-18,921.033774943
2017-11-19,960.281851031
2017-11-20,954.221520918
2017-11-21,956.823573002
2017-11-22,928.95782212
2017-11-23,942.78315858
2017-11-24,916.679292161
2017-11-25,942.052029979
2017-11-26,1002.72953733
2017-11-27,1063.40704469
2017-11-28,1124.08455204
2017-11-29,1257.73727019
2017-11-30,1079.80639236
2017-12-01,1150.15444695
2017-12-02,1255.47296527
2017-12-03,1302.86515316
2017-12-04,1332.42017763
2017-12-05,1437.0283788
2017-12-06,1424.21701593
2017-12-07,1409.98266289
2017-12-08,1369.42588197
2017-12-09,1644.36648092
2017-12-10,1491.78144295
2017-12-11,1400.5240178
2017-12-12,1612.5861261
2017-12-13,1750.88162247
2017-12-14,1846.61348802
2017-12-15,2218.12922607
2017-12-16,2206.04721847
2017-12-17,2662.45224308
2017-12-18,3006.46364755
2017-12-19,3435.82056456
2017-12-20,3573.39818785
2017-12-21,3488.31729247
2017-12-22,4088.0155479
2017-12-23,3126.52355056
2017-12-24,3390.32341017
2017-12-25,3403.70990882
2017-12-26,3466.23012106
2017-12-27,3612.41814126
2017-12-28,3587.34376825
2017-12-29,3478.96732447
2017-12-30,3612.99098436
2017-12-31,3221.62285945
2018-01-01,3586.27063254
2018-01-02,3730.42979988
2018-01-03,4160.33789382
2018-01-04,4803.26025195
2018-01-05,5133.62809018
2018-01-06,5249.33148675
2018-01-07,5234.0433512
2018-01-08,5547.74927374
2018-01-09,4961.3583617
2018-01-10,4815.56904812
2018-01-11,4845.27013783
2018-01-12,4296.25951762
2018-01-13,4725.25773547
2018-01-14,5136.66613986
2018-01-15,4814.89191643
2018-01-16,4792.38745365
2018-01-17,3532.44001444
2018-01-18,3726.33875918
2018-01-19,3743.38659881
2018-01-20,3898.89042765
2018-01-21,4263.41708476
2018-01-22,3737.49561791
2018-01-23,3479.10088422
2018-01-24,3451.34767667
