date,value
2017-07-18,54.480012344
2017-07-19,59.1334020779
2017-07-20,54.1363262778
2017-07-21,62.7955235355
2017-07-22,63.4952750202
2017-07-23,75.7767810806
2017-07-24,74.4771917702
2017-07-25,77.055867887
2017-07-26,64.3211787442
2017-07-27,62.8789545871
2017-07-28,61.43673043
2017-07-29,59.9945062729
2017-07-30,61.126626652
2017-07-31,62.896682959
2017-08-01,64.666739266
2017-08-02,66.436795573
2017-08-03,63.9487269091
2017-08-04,67.2442036472
2017-08-05,67.9930676768
2017-08-06,72.3633652644
2017-08-07,72.4217278456
2017-08-08,73.4573335812
2017-08-09,74.4929393167
2017-08-10,75.5285450523
2017-08-11,77.3204890996
2017-08-12,86.7011922986
2017-08-13,85.1491857799
2017-08-14,79.7559503269
2017-08-15,77.0419972594
2017-08-16,75.9372522738
2017-08-17,78.6359412917
2017-08-18,76.176536201
2017-08-19,69.5825186333
2017-08-20,72.8573960214
2017-08-21,75.0479996057
2017-08-22,73.0135046969
2017-08-23,70.9790097882
2017-08-24,68.9445148794
2017-08-25,72.2605983023
2017-08-26,71.7110867796
2017-08-27,71.5770019509
2017-08-28,74.5970669034
2017-08-29,74.6609866123
2017-08-30,77.4468965534
2017-08-31,80.9657190728
2017-09-01,83.2590782775
2017-09-02,86.5710041555
2017-09-03,76.3563910017
2017-09-04,76.880850049
2017-09-05,63.2624661578
2017-09-06,70.9530314562
2017-09-07,75.7194950087
2017-09-08,78.1434077465
2017-09-09,69.3453118827
2017-09-10,70.3778795216
2017-09-11,67.9272914772
2017-09-12,66.7124678318
2017-09-13,66.7145448583
2017-09-14,61.4491455432
2017-09-15,47.486279631
2017-09-16,57.7745145515
2017-09-17,58.0485181813
2017-09-18,58.2865660439
2017-09-19,64.0151849231
2017-09-20,59.1233947754
2017-09-21,56.9256784964
2017-09-22,50.9277099418
2017-09-23,52.933028433
2017-09-24,55.7054748949
2017-09-25,53.4957947316
2017-09-26,58.685627237
2017-09-27,58.1555815201
2017-09-28,63.3152933121
2017-09-29,63.8993204972
2017-09-30,60.3413583152
2017-10-01,62.5984530607
2017-10-02,62.0207303919
2017-10-03,58.6031752503
2017-10-04,58.130561353
2017-10-05,56.0876916979
2017-10-06,56.3635195056
2017-10-07,57.488181878
2017-10-08,54.7335475782
2017-10-09,51.1214890562
2017-10-10,49.3293378221
2017-10-11,52.0629880045
2017-10-12,55.2863412515
2017-10-13,52.11687994
2017-10-14,52.2670285174
2017-10-15,51.7506213875
2017-10-16,49.9137665172
2017-10-17,52.2054102844
2017-10-18,51.8594092983
2017-10-19,51.0700307799
2017-10-20,50.0281868742
2017-10-21,47.1932440162
2017-10-22,46.1035211185
2017-10-23,47.2257410912
2017-10-24,45.4441601275
2017-10-25,48.8047646956
2017-10-26,48.3554860731
2017-10-27,47.4348441974
2017-10-28,47.1066554249
2017-10-29,46.4927553767
2017-10-30,47.8168426869
2017-10-31,48.2287613755
2017-11-01,46.426211777
2017-11-02,44.9760248533
2017-11-03,44.4363247111
2017-11-04,47.3401311881
2017-11-05,46.5901416119
2017-11-06,45.9385416878
2017-11-07,45.662253495
2017-11-08,46.4464394102
2017-11-09,52.4103392529
2017-11-10,55.302138372
2017-11-11,48.5150212996
2017-11-12,49.5493264395
2017-11-13,45.3318928108
2017-11-14,49.8965099881
2017-11-15,53.6295155117
2017-11-16,53.6707638244
2017-11-17,52.4496773046
2017-11-18,54.2769952037
2017-11-19,56.1043131027
2017-11-20,57.9316310017
2017-11-21,59.7589489008
2017-11-22,58.6527521476
2017-11-23,62.1231507977
2017-11-24,60.8247490058
2017-11-25,62.6825469437
2017-11-26,66.7314707504
2017-11-27,70.780394557
2017-11-28,74.8293183637
2017-11-29,74.4723631867
2017-11-30,65.0948249472
2017-12-01,69.4406837076
2017-12-02,76.6576250192
2017-12-03,83.0425879887
2017-12-04,83.3163030375
2017-12-05,91.4483325484
2017-12-06,91.4150809379
2017-12-07,90.5493153807
2017-12-08,79.8380136988
2017-12-09,87.1681052705
2017-12-10,85.2247323109
2017-12-11,77.8567671365
2017-12-12,89.8154753103
2017-12-13,100.241161438
2017-12-14,122.207535494
2017-12-15,138.11361125
2017-12-16,139.436678952
2017-12-17,167.23663598
2017-12-18,174.330699661
2017-12-19,205.168405438
2017-12-20,224.635687821
2017-12-21,220.487120259
2017-12-22,242.27670591
2017-12-23,186.396499446
2017-12-24,213.217314591
2017-12-25,204.244982053
2017-12-26,216.271680253
2017-12-27,227.497753521
2017-12-28,230.995476392
2017-12-29,225.921598157
2017-12-30,223.217029965
2017-12-31,206.936458833
2018-01-01,237.501678301
2018-01-02,253.891961227
2018-01-03,301.51506696
2018-01-04,360.414431892
2018-01-05,456.071870069
2018-01-06,484.948945227
2018-01-07,438.866440186
2018-01-08,461.407172127
2018-01-09,414.103681893
2018-01-10,391.764664359
2018-01-11,401.818712085
2018-01-12,365.222455949
2018-01-13,403.171741226
2018-01-14,422.022808298
2018-01-15,371.997945463
2018-01-16,351.934939363
2018-01-17,263.250420979
2018-01-18,289.949698013
2018-01-19,284.781761819
2018-01-20,300.733222652
2018-01-21,354.00090063
2018-01-22,307.738821468
2018-01-23,291.780589242
2018-01-24,291.789008754
2018-01-25,306.183297057
2018-01-26,302.985073073
2018-01-27,302.191297322
2018-01-28,310.319607307
2018-01-29,319.688651101
2018-01-30,302.916887155
2018-01-31,258.880758049
2018-02-01,266.669237078
2018-02-02,227.14773822
2018-02-03,219.157266807
2018-02-04,232.558279388
2018-02-05,193.886189483
2018-02-06,151.401050917
2018-02-07,180.68398349
2018-02-08,172.608773913
2018-02-09,191.241432818
2018-02-10,206.891286859
2018-02-11,199.554135794
2018-02-12,181.907499742
2018-02-13,197.776387433
2018-02-14,187.658132812
2018-02-15,208.904288501
2018-02-16,213.246248082
2018-02-17,221.102941205
2018-02-18,227.155910207
2018-02-19,207.093164386
2018-02-20,218.828901408
2018-02-21,205.483125872
2018-02-22,193.093594362
2018-02-23,178.701987337
2018-02-24,191.604626516
2018-02-25,181.409611764
2018-02-26,184.380705989
2018-02-27,189.354784584
2018-02-28,195.284537606
2018-03-01,185.642658572
2018-03-02,196.604613082
2018-03-03,191.962077755
2018-03-04,189.486794162
2018-03-05,191.52078186
2018-03-06,188.784106534
2018-03-07,177.385465546
2018-03-08,157.854121409
2018-03-09,146.578584645
2018-03-10,148.41931083
2018-03-11,138.623684125
2018-03-12,149.756606351
2018-03-13,143.259935561
2018-03-14,148.606672019
2018-03-15,131.839346879
2018-03-16,129.21722442
2018-03-17,129.710634421
2018-03-18,118.62831035
2018-03-19,119.848609271
2018-03-20,135.069911483
2018-03-21,139.962507833
2018-03-22,150.070976771
2018-03-23,149.802064206
2018-03-24,155.164777104
2018-03-25,153.692826572
2018-03-26,151.621706511
2018-03-27,144.209881386
2018-03-28,137.159317728
2018-03-29,142.600253557
2018-03-30,126.090863205
2018-03-31,124.742653594
2018-04-01,121.262779535
2018-04-02,115.773969695
2018-04-03,124.538293303
2018-04-04,130.223921541
2018-04-05,117.157942782
2018-04-06,125.775805408
2018-04-07,119.670167262
2018-04-08,122.874675427
2018-04-09,124.578256046
2018-04-10,121.288773117
2018-04-11,125.040345651
2018-04-12,142.829248361
2018-04-13,158.845657315
2018-04-14,159.42413
2018-04-15,161.885815317
2018-04-16,166.467022653
2018-04-17,162.736930096
2018-04-18,165.35659701
2018-04-19,177.359786572
2018-04-20,185.068068178
2018-04-21,196.335710114
2018-04-22,194.582804596
2018-04-23,198.187759568
2018-04-24,208.126937166
2018-04-25,231.756225246
2018-04-26,206.234005926
2018-04-27,228.058480096
2018-04-28,222.213227368
2018-04-29,247.130662785
2018-04-30,259.187667331
2018-05-01,251.806772776
2018-05-02,252.927756015
2018-05-03,260.362573175
2018-05-04,263.456995067
2018-05-05,266.097563986
2018-05-06,263.402695498
2018-05-07,253.749440257
2018-05-08,249.854399912
2018-05-09,252.009741475
2018-05-10,255.364193137
2018-05-11,240.852025413
2018-05-12,221.552391535
2018-05-13,222.530566101
2018-05-14,219.193593747
2018-05-15,215.856621392
2018-05-16,212.519649037
2018-05-17,209.182676682
2018-05-18,205.845704327
2018-05-19,215.132607462
2018-05-20,213.85900793
2018-05-21,224.839144814
2018-05-22,222.84036
2018-05-23,201.943040795
2018-05-24,183.698640171
2018-05-25,194.670168961
2018-05-26,187.122806774
2018-05-27,187.212906475
2018-05-28,183.203340135
2018-05-29,163.0707855
2018-05-30,179.363289331
2018-05-31,177.285054578
2018-06-01,181.196858083
2018-06-02,180.02782775
2018-06-03,188.909266078
2018-06-04,193.872560162
2018-06-05,184.735946609
2018-06-06,190.68263704
2018-06-07,192.527748081
2018-06-08,190.793959368
2018-06-09,186.483702626
2018-06-10,181.452119521
2018-06-11,153.846777893
2018-06-12,159.155006918
2018-06-13,144.588609917
2018-06-14,136.460519637
2018-06-15,147.666306191
2018-06-16,140.433000378
2018-06-17,143.7630934
2018-06-18,143.506408131
2018-06-19,149.569955128
2018-06-20,153.073637628
2018-06-21,151.081076647
2018-06-22,150.480487636
2018-06-23,131.08983027
2018-06-24,132.359564164
2018-06-25,123.70737649
2018-06-26,129.076157193
2018-06-27,118.548229048
2018-06-28,121.399818004
2018-06-29,114.564641111
2018-06-30,121.144471751
2018-07-01,126.940378352
2018-07-02,127.64351277
2018-07-03,136.463944702
2018-07-04,131.754335358
2018-07-05,135.108197525
2018-07-06,132.829913351
2018-07-07,132.356065075
2018-07-08,133.64899953
2018-07-09,131.056564951
2018-07-10,124.963112605
2018-07-11,114.380328367
2018-07-12,114.460685636
2018-07-13,109.047928547
2018-07-14,113.033592845
2018-07-15,112.560376667
2018-07-16,115.935108655
2018-07-17,124.716149979
2018-07-18,132.275646241
2018-07-19,129.075699194
2018-07-20,125.493255871
2018-07-21,114.4284514
2018-07-22,118.759602062
2018-07-23,117.700007482
2018-07-24,115.893682932
2018-07-25,121.301302141
2018-07-26,123.20610649
2018-07-27,120.190591873
2018-07-28,125.360442055
2018-07-29,127.446650398
2018-07-30,128.326740712
2018-07-31,122.710962976
2018-08-01,115.841705472
2018-08-02,109.272257698
2018-08-03,115.420129881
2018-08-04,104.186165134
2018-08-05,102.341803265
2018-08-06,100.689608143
2018-08-07,97.6140425954
2018-08-08,92.4360079145
2018-08-09,81.6235561118
2018-08-10,87.4943019246
2018-08-11,79.8737890759
2018-08-12,75.846318979
2018-08-13,76.6650610811
2018-08-14,66.1065298527
2018-08-15,62.3573730558
2018-08-16,64.1570108939
2018-08-17,67.7861696121
2018-08-18,82.482946561
2018-08-19,74.5025435296
2018-08-20,77.0491865061
2018-08-21,70.7778539807
2018-08-22,75.2591455891
2018-08-23,69.1348511909
2018-08-24,70.1819109164
2018-08-25,75.9975730751
2018-08-26,73.4406780772
2018-08-27,73.7477730561
2018-08-28,79.3133440307
2018-08-29,88.8866556654
2018-08-30,85.9006645125
2018-08-31,83.7152064758
2018-09-01,84.5744080372
2018-09-02,88.777846496
2018-09-03,86.8734956819
2018-09-04,86.6131369922
2018-09-05,88.842661654
2018-09-06,73.2280326416
2018-09-07,74.8834685131
2018-09-08,71.3741162543
2018-09-09,66.9868162617
2018-09-10,66.874268238
2018-09-11,66.6758804546
2018-09-12,63.3825795074
2018-09-13,63.1157780026
2018-09-14,66.9679664389
2018-09-15,66.9809594277
2018-09-16,68.436228877
2018-09-17,68.2373242639
2018-09-18,62.7199180198
2018-09-19,64.7404122222
2018-09-20,65.2613092588
2018-09-21,69.2543019263
