date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2014-08-05,,,772597.0,0.002976,30316.0,,
2014-08-06,,,746554.0,0.002373,35820.0,,
2014-08-07,,,976942.0,0.002686,142864.0,,
2014-08-08,,,1075820.0,0.002493,93708.0,,
2014-08-09,,,1261300.0,0.002884,233579.0,,
2014-08-10,,,1652770.0,0.003497,352737.0,,
2014-08-11,,,2351620.0,0.004566,479942.0,,
2014-08-12,,,2274180.0,0.003592,345441.0,,
2014-08-13,,,2237580.0,0.002619,256302.0,,
2014-08-14,,,2580570.0,0.002763,169177.0,,
2014-08-15,,,2513090.0,0.002566,135243.0,,
2014-08-16,,,2429190.0,0.002401,116834.0,,
2014-08-17,,,2576620.0,0.002507,61889.0,,
2014-08-18,,,2421500.0,0.002336,104237.0,,
2014-08-19,,,2114990.0,0.002028,66941.0,,
2014-08-20,,,2318890.0,0.002223,96584.0,,
2014-08-21,,,2595540.0,0.002488,76029.0,,
2014-08-22,,,2495560.0,0.002392,50589.0,,
2014-08-23,,,2460170.0,0.002358,43776.0,,
2014-08-24,,,2333070.0,0.002237,37470.0,,
2014-08-25,,,2332310.0,0.002236,38512.0,,
2014-08-26,,,2316850.0,0.002221,99823.0,,
2014-08-27,,,2379110.0,0.002281,60132.0,,
2014-08-28,,,2368000.0,0.00227,90044.0,,
2014-08-29,,,2278590.0,0.002184,43049.0,,
2014-08-30,,,2314020.0,0.002218,39116.0,,
2014-08-31,,,2284040.0,0.00219,22844.0,,
2014-09-01,,,2149450.0,0.002061,27975.0,,
2014-09-02,,,2094120.0,0.002008,23793.0,,
2014-09-03,,,2084530.0,0.001998,36081.0,,
2014-09-04,,,2296730.0,0.002059,58031.0,,
2014-09-05,,,2386010.0,0.00213,26119.0,,
2014-09-06,,,2342120.0,0.002082,31676.0,,
2014-09-07,,,2328500.0,0.00206,34744.0,,
2014-09-08,,,2319720.0,0.002042,105569.0,,
2014-09-09,,,2586270.0,0.002265,51289.0,,
2014-09-10,,,2501190.0,0.002179,59878.0,,
2014-09-11,,,2590280.0,0.002244,113300.0,,
2014-09-12,,,2902440.0,0.0025,117052.0,,
2014-09-13,,,3539410.0,0.003032,111452.0,,
2014-09-14,,,3635190.0,0.003096,113315.0,,
2014-09-15,,,3394810.0,0.002874,72903.0,,
2014-09-16,,,3600720.0,0.003031,86555.0,,
2014-09-17,,,3568360.0,0.002988,118073.0,,
2014-09-18,,,3697400.0,0.003081,205474.0,,
2014-09-19,,,4160240.0,0.00346,204649.0,,
2014-09-20,,,4760040.0,0.003936,186971.0,,
2014-09-21,,,4374580.0,0.00361,145626.0,,
2014-09-22,,,4234030.0,0.003466,178810.0,,
2014-09-23,,,4903240.0,0.004007,120447.0,,
2014-09-24,,,4860820.0,0.003966,163121.0,,
2014-09-25,,,4800810.0,0.003878,81902.0,,
2014-09-26,,,4503470.0,0.0036,117908.0,,
2014-09-27,,,3829790.0,0.003044,44492.0,,
2014-09-28,,,4128940.0,0.003262,77804.0,,
2014-09-29,,,4038750.0,0.00317,32858.0,,
2014-09-30,,,4131310.0,0.003227,21131.0,,
2014-10-01,,,4147990.0,0.003221,70180.0,,
2014-10-02,,,3745360.0,0.002888,30542.0,,
2014-10-03,,,3582830.0,0.002743,34169.0,,
2014-10-04,,,3433990.0,0.002604,45969.0,,
2014-10-05,,,3231660.0,0.002441,29396.0,,
2014-10-06,,,3157090.0,0.002384,34446.0,,
2014-10-07,,,3412980.0,0.002578,35420.0,,
2014-10-08,,,3219510.0,0.00242,28232.0,,
2014-10-09,,,3316890.0,0.002475,11066.0,,
2014-10-10,,,3185650.0,0.002356,14307.0,,
2014-10-11,,,3147830.0,0.002308,34909.0,,
2014-10-12,,,3215900.0,0.002338,76978.0,,
2014-10-13,,,3096940.0,0.00224,44927.0,,
2014-10-14,,,3209080.0,0.002309,32533.0,,
2014-10-15,,,3288880.0,0.002352,46516.0,,
2014-10-16,,,3055120.0,0.002173,39044.0,,
2014-10-17,,,2943660.0,0.002081,22242.0,,
2014-10-18,,,2875970.0,0.002022,27435.0,,
2014-10-19,,,2941420.0,0.002058,18945.0,,
2014-10-20,,,2904680.0,0.002021,38282.0,,
2014-10-21,,,2919940.0,0.002022,26101.0,,
2014-10-22,,,2990180.0,0.002062,19376.0,,
2014-10-23,,,2952570.0,0.002021,15614.0,,
2014-10-24,,,2804450.0,0.001915,29512.0,,
2014-10-25,,,2875720.0,0.001959,13101.0,,
2014-10-26,,,2785750.0,0.001893,9559.0,,
2014-10-27,,,2859770.0,0.001941,14396.0,,
2014-10-28,,,2890500.0,0.001957,73811.0,,
2014-10-29,,,2480090.0,0.001675,24172.0,,
2014-10-30,,,2518280.0,0.001696,13179.0,,
2014-10-31,,,2599070.0,0.001748,10733.0,,
2014-11-01,,,2508800.0,0.001686,494272.0,,
2014-11-02,,,2306560.0,0.001549,9242.0,,
2014-11-03,,,2357680.0,0.001582,15149.0,,
