date,txVolume(USD),txCount,paymentCount,marketcap(USD),price(USD),exchangeVolume(USD)
2013-01-01,,,,,,
2013-01-02,,18,3,,,
2013-01-03,,10,6,,,
2013-01-04,,19,6,,,
2013-01-05,,25,5,,,
2013-01-06,,39,6,,,
2013-01-07,,17,3,,,
2013-01-08,,93,15,,,
2013-01-09,,49,14,,,
2013-01-10,,91,23,,,
2013-01-11,,21,5,,,
2013-01-12,,32,6,,,
2013-01-13,,26,10,,,
2013-01-14,,16,4,,,
2013-01-15,,80,15,,,
2013-01-16,,63,20,,,
2013-01-17,,120,28,,,
2013-01-18,,89,13,,,
2013-01-19,,33,6,,,
2013-01-20,,19,3,,,
2013-01-21,,37,4,,,
2013-01-22,,54,17,,,
2013-01-23,,123,12,,,
2013-01-24,,46,9,,,
2013-01-25,,44,13,,,
2013-01-26,,46,29,,,
2013-01-27,,30,8,,,
2013-01-28,,40,8,,,
2013-01-29,,76,5,,,
2013-01-30,,64,16,,,
2013-01-31,,56,14,,,
2013-02-01,,22,3,,,
2013-02-02,,39,6,,,
2013-02-03,,6,3,,,
2013-02-04,,9,4,,,
2013-02-05,,15,3,,,
2013-02-06,,15,14,,,
2013-02-07,,62,25,,,
2013-02-08,,79,36,,,
2013-02-09,,94,30,,,
2013-02-10,,291,32,,,
2013-02-11,,311,72,,,
2013-02-12,,448,65,,,
2013-02-13,,219,16,,,
2013-02-14,,672,19,,,
2013-02-15,,311,32,,,
2013-02-16,,256,16,,,
2013-02-17,,287,4,,,
2013-02-18,,83,24,,,
2013-02-19,,255,24,,,
2013-02-20,,211,74,,,
2013-02-21,,926,346,,,
2013-02-22,,1262,64,,,
2013-02-23,,1736,420,,,
2013-02-24,,695,141,,,
2013-02-25,,590,191,,,
2013-02-26,,808,187,,,
2013-02-27,,1272,338,,,
2013-02-28,,2140,198,,,
2013-03-01,,814,189,,,
2013-03-02,,1203,121,,,
2013-03-03,,882,80,,,
2013-03-04,,2009,400,,,
2013-03-05,,1784,123,,,
2013-03-06,,3177,256,,,
2013-03-07,,778,234,,,
2013-03-08,,1655,135,,,
2013-03-09,,1928,53,,,
2013-03-10,,457,89,,,
2013-03-11,,694,268,,,
2013-03-12,,507,126,,,
2013-03-13,,608,79,,,
2013-03-14,,564,84,,,
2013-03-15,,714,55,,,
2013-03-16,,504,39,,,
2013-03-17,,1158,22,,,
2013-03-18,,1372,125,,,
2013-03-19,,1963,138,,,
2013-03-20,,2106,99,,,
2013-03-21,,2152,159,,,
2013-03-22,,1543,56,,,
2013-03-23,,3980,33,,,
2013-03-24,,1989,76,,,
2013-03-25,,827,247,,,
2013-03-26,,595,159,,,
2013-03-27,,1931,73,,,
2013-03-28,,2414,169,,,
2013-03-29,,2885,338,,,
2013-03-30,,722,120,,,
2013-03-31,,1093,497,,,
2013-04-01,,1737,259,,,
2013-04-02,,1501,179,,,
2013-04-03,,1642,139,,,
2013-04-04,,2237,97,,,
2013-04-05,,764,123,,,
2013-04-06,,672,159,,,
2013-04-07,,1131,133,,,
2013-04-08,,2149,207,,,
2013-04-09,,1622,123,,,
2013-04-10,,1421,128,,,
2013-04-11,,1739,181,,,
2013-04-12,,1687,445,,,
2013-04-13,,1316,338,,,
2013-04-14,,3055,358,,,
2013-04-15,,3599,422,,,
2013-04-16,,2202,601,,,
2013-04-17,,2948,419,,,
2013-04-18,,3215,543,,,
2013-04-19,,3096,398,,,
2013-04-20,,2844,464,,,
2013-04-21,,3421,689,,,
2013-04-22,,2642,451,,,
2013-04-23,,3280,521,,,
2013-04-24,,3490,965,,,
2013-04-25,,2720,613,,,
2013-04-26,,2955,953,,,
2013-04-27,,3168,1301,,,
2013-04-28,,3006,612,,,
2013-04-29,,3591,1088,,,
2013-04-30,,2347,500,,,
2013-05-01,,2844,443,,,
2013-05-02,,3367,518,,,
2013-05-03,,3910,507,,,
2013-05-04,,5790,676,,,
2013-05-05,,7913,1158,,,
2013-05-06,,7598,1981,,,
2013-05-07,,4183,602,,,
2013-05-08,,3717,621,,,
2013-05-09,,14558,10580,,,
2013-05-10,,13706,6273,,,
2013-05-11,,18954,8846,,,
2013-05-12,,15203,7377,,,
2013-05-13,,20020,8536,,,
2013-05-14,,35966,6170,,,
2013-05-15,,24554,6897,,,
2013-05-16,,15343,3864,,,
2013-05-17,,11081,2840,,,
2013-05-18,,9317,2866,,,
2013-05-19,,9084,2643,,,
2013-05-20,,12686,2287,,,
2013-05-21,,27753,2594,,,
2013-05-22,,25617,2710,,,
2013-05-23,,36361,2871,,,
2013-05-24,,27812,2676,,,
2013-05-25,,40192,2328,,,
2013-05-26,,13102,2499,,,
2013-05-27,,10092,2603,,,
2013-05-28,,15408,2912,,,
2013-05-29,,6621,2761,,,
2013-05-30,,7695,2879,,,
2013-05-31,,9478,2326,,,
2013-06-01,,19359,10219,,,
2013-06-02,,15979,5295,,,
2013-06-03,,14399,5806,,,
2013-06-04,,16175,5571,,,
2013-06-05,,19155,9375,,,
2013-06-06,,29272,18657,,,
2013-06-07,,30902,21169,,,
2013-06-08,,29141,21280,,,
2013-06-09,,22080,13389,,,
2013-06-10,,22235,16711,,,
2013-06-11,,21414,11911,,,
2013-06-12,,15033,5820,,,
2013-06-13,,12787,3976,,,
2013-06-14,,9803,4063,,,
2013-06-15,,5812,2333,,,
2013-06-16,,9185,1577,,,
2013-06-17,,13490,4578,,,
2013-06-18,,15801,5624,,,
2013-06-19,,12774,4771,,,
2013-06-20,,14885,5041,,,
2013-06-21,,15022,3943,,,
2013-06-22,,12305,4358,,,
2013-06-23,,12110,3158,,,
2013-06-24,,10872,3844,,,
2013-06-25,,10736,3707,,,
2013-06-26,,8913,3757,,,
2013-06-27,,8943,3495,,,
2013-06-28,,11458,5661,,,
2013-06-29,,8922,7258,,,
2013-06-30,,30716,4099,,,
2013-07-01,,10263,3996,,,
2013-07-02,,12676,4354,,,
2013-07-03,,121150,6674,,,
2013-07-04,,9903,4957,,,
